team,three_pt_rate_off_gravity,three_pt_rate_def_gravity,three_pt_rate_off_avg,three_pt_rate_def_avg
McNeese St.,0.6709589767530799,0.9913255763048647,35.20071736675969,46.816328642395845
Memphis,0.9684968482021521,1.1781430877036208,33.776892029321665,42.846140056867654
Mercer,1.0367606417847008,-0.5867751466671075,39.15563339019432,42.12194776657136
Mercyhurst,0.9965223128579431,0.8024050943727149,31.37768105516664,33.60209997941424
Merrimack,0.9652064930258225,0.9011257603699743,45.78979865281155,32.736745040356546
Miami FL,1.1201723974095712,0.21725050872048254,31.823269327712392,40.695300283479106
Miami OH,0.9352309730954336,0.25547450943269834,44.383318138729315,37.32508096090232
Michigan,0.16066166768057683,0.8869578776207322,42.02106652852507,41.881638754903676
Michigan St.,1.2626637480148504,0.9597771902574566,36.497751239026194,45.791250984923735
Middle Tennessee,0.6317810503317227,0.9309577097982823,44.967973754716695,36.07123146661533
Milwaukee,0.37749791452534237,-1.0297527856403481,38.082855797061264,40.01466666287484
Minnesota,0.8617118496167485,0.6133975768799078,47.13548301808598,41.7176698241019
Mississippi,0.7642851828187263,1.324154261118385,36.477895222549684,42.581913202982406
Mississippi St.,0.3347145191603803,-0.09101291417719146,40.117468284120335,39.35672774610235
Mississippi Valley St.,1.020118139905051,1.9869988415967905,30.12219106253456,41.87802517851035
Missouri,0.8114326083429111,0.8243915672147246,36.38974442,43.3355567156117
Missouri St.,0.5451229512962371,0.8326782282268186,41.45256104789127,35.79217960083768
Monmouth,0.7259155090442646,0.20065937215785312,34.35483749757756,38.46657595822683
Montana,1.3904427468725657,1.6227449552467987,41.86974964479599,38.228671385034964
Montana St.,1.2760379200070364,1.272697287381126,44.465544014516375,34.62407243965558
Morehead St.,0.8458989264206527,-1.4329270064071171,30.35868306367801,38.76116183977067
Morgan St.,1.1097115808100262,0.3270500359968306,35.45729464100527,32.971320216868634
Mount St. Mary's,0.9624699888611428,0.9349331952927841,42.62033086639945,44.784219895341586
Murray St.,0.5772036916377947,0.9876053285916249,44.749894792549654,27.662482616530507
N.C. State,0.7747385237939198,0.952834845153079,43.85823925062217,45.67324454742376
NJIT,1.6582280484188765,-0.43077884411086037,40.34583045704052,40.35938380648299
Navy,0.9161924847943752,0.740689132535586,33.38064775820222,45.92305319108599
Nebraska,0.9343977320783516,0.9240519278409695,50.742266283760365,48.948551430859325
Nebraska Omaha,1.4926948642431361,0.9474546187114864,40.93417773243398,45.8929339993853
Nevada,1.1946838794975272,0.9491695803612912,32.42548373916821,43.22256828436586
New Hampshire,1.2445647728581142,1.4412212420069248,43.17116548419239,36.809309019938375
New Haven,0.8646505139234207,-1.1543869058623315,40.289547489748124,38.39187847491496
New Mexico,0.5631422442427474,0.981266075432702,42.14756413174327,48.520976645490755
New Mexico St.,1.727407257045483,0.9058181325287216,39.06904065765558,41.697150627205026
New Orleans,0.9476893566624589,1.320388459700963,33.463811855795655,40.416973636514214
Niagara,0.7554142780816906,1.4061069228445389,40.574310498122124,40.54777625557646
Nicholls St.,1.1581143853788265,0.008606870146280718,43.7707838186475,38.3286502651785
Norfolk St.,1.01182725360841,2.6520229783077482,30.874235046222257,42.057185263033915
North Alabama,1.2301483198098764,0.38685942101854187,33.958656647825016,43.19702013133331
North Carolina,0.19463821306162563,1.0303497366944498,42.01214411122272,36.99317950161434
North Carolina A&T,0.9809965355259505,0.5588771906858427,32.956809506996706,37.857770388764315
