team,ft_rate_off_gravity,ft_rate_def_gravity,ft_rate_off_avg,ft_rate_def_avg
Queens,0.4288123313506169,1.4595534402207084,36.847690650738635,39.691244681822255
Quinnipiac,0.47580437779590923,0.35296453327361943,34.46093683841296,31.133969690316725
Radford,0.8079564784327313,0.6806062858751207,43.06163439334564,40.54247977937584
Rhode Island,1.3038654126206677,0.9713101495612175,39.98867227118093,43.64351861416612
Rice,1.173381804805652,0.7543041900002196,34.30972298662428,41.469955558753846
Richmond,1.3640699070582207,0.081511813880749,37.457285304748844,35.8858167775752
Rider,1.0604745221878347,0.44292083837588087,30.740053097618382,32.884618166787895
Robert Morris,1.1470690717315344,1.538496711246755,28.641363425071777,40.5608027764433
Rutgers,2.429555495868715,1.3408605383649224,37.56832729893839,31.859591154761798
SIU Edwardsville,1.285231138082672,-0.8836375684087223,31.059226506716897,35.17581377723712
SMU,0.7152879592250259,1.4337116328837547,32.11733603950117,32.43923237105559
Sacramento St.,0.7581436761550402,1.4027218533977064,42.079895031513864,36.61348443383236
Sacred Heart,0.9200676162046106,0.6957859510529631,31.637792086073272,27.62161798788211
Saint Francis,1.2936675656430054,1.797663302814519,31.40548720756737,39.71405193032616
Saint Joseph's,0.8429345258126918,1.1660202837820681,31.23882006272946,27.055819627976938
Saint Louis,0.9919448523952176,-0.11297424104570325,34.78246280020127,37.15632832293753
Saint Mary's,1.0556406529442683,0.8773870517906824,36.553284709895145,25.99797866351546
Saint Peter's,1.3041132938156261,1.2246097670770084,37.061992679996365,47.56351208638216
Sam Houston St.,2.965465527008652,0.816305982783099,34.950836229481105,37.328588023960705
Samford,0.9194547614611038,0.8426579877146451,43.18072703491193,33.347542233801036
San Diego,0.9503783572360036,1.2237827100254979,26.161965473705973,39.68768299410773
San Diego St.,0.5135082791318446,0.3275511330094678,37.66613969026661,39.6327202286876
San Francisco,0.9605200070625186,0.8696130847289975,41.18914564068196,30.825327182945973
San Jose St.,1.3104395430385136,-0.5799969323450711,33.5001945735029,36.01614205363299
Santa Clara,0.92684447198173,1.1589352526287666,26.04201618831708,39.3167899453116
Seattle,0.42860108413317055,0.39677395622728795,35.13828766318642,33.5963222594027
Seton Hall,-0.16016230360650321,0.93126436775582,35.86507931826128,42.92085829283468
Siena,1.0327653870281328,0.5625682054971893,35.663924412855565,28.03225796571465
South Alabama,0.42335598783523015,0.9690153594648364,39.89797198806122,26.047257716920782
South Carolina,1.2142151048657637,2.6533872363634137,37.37767664711823,34.507566217050254
South Carolina St.,0.4453522830864062,0.9252272469504457,42.69553919558378,52.53665872962557
South Dakota,0.8762944744430852,0.5787306802316585,46.0583898914085,32.15287969890756
South Dakota St.,0.9271833978594131,0.14673744741259215,29.936182455450563,35.33193525987122
South Florida,1.0239947233933777,0.18044600943790523,43.31251135042815,38.87987458498582
Southeast Missouri St.,0.7699652941513163,1.1503752561761962,39.724664139503744,48.56263693013966
Southeastern Louisiana,0.38697637589383593,1.3417881293925649,41.4969579604082,42.16255140937096
Southern,0.3916765859256683,1.0087412305409196,41.58816046883154,44.39540238465641
Southern Illinois,0.5304576902913506,0.8219844052701015,31.90049745259709,31.603864531704872
Southern Indiana,0.24729279970872306,1.5529784950411716,37.94452901613311,37.009528103379196
Southern Miss,0.941872050888791,1.0077892188309752,44.25151941625689,44.36757798806847
Southern Utah,3.4628844586883023,0.8655179931084102,34.40984102334719,30.166047254730877
St. Bonaventure,0.7464949701931499,1.5415296939923504,29.80009715366157,34.534415063351695
St. John's,1.369580506462268,1.1418479304001643,42.982076653040465,32.89943690251896
St. Thomas,1.4951312514820942,0.8429765344841228,35.38026481969965,31.185290814757668
Stanford,1.9469264222306981,0.918095990742246,36.753490324868444,41.363977733115554
Stephen F. Austin,2.0807281046539474,0.8247651627936671,31.074397086324232,30.67762713862804
Stetson,1.3336316262080987,0.526983213899791,33.2089621282952,30.551640566675655
Stonehill,1.2834500878810222,0.3356027424295668,27.97860064212572,30.416091368110916
Stony Brook,1.1121470414208343,1.085113831912951,28.86298382416617,36.805591440761205
Syracuse,-1.5656112262680373,0.7350169270419774,35.65435751752678,33.15765796582917
TCU,1.300501346913788,1.0090007774463385,39.555915327197575,29.478734909753626
