team,to_rate_off_gravity,to_rate_def_gravity,to_rate_off_avg,to_rate_def_avg
South Dakota St.,0.22214697142789083,0.7070491710514623,15.519896685336182,13.735269284531867
South Florida,0.8096820365740534,1.146652818686047,14.314278591794332,17.815762907622716
Southeast Missouri St.,-0.0052127401611347345,0.2368891606084098,15.83941440873588,16.75708407724179
Southeastern Louisiana,0.652279755097889,0.9599705217070923,17.33591699444212,17.524552976450288
Southern,0.2644302368976369,0.6307333717192694,15.503600872793712,17.96117578199744
Southern Illinois,0.22797376745292883,1.0837063503945141,16.364909273799242,17.60589304765952
Southern Indiana,0.5210161935545571,0.6904880693924221,15.10654772486501,15.434266576284006
Southern Miss,1.1108081480245091,0.5552960969065053,16.960020263593155,16.72664736147884
Southern Utah,0.6275185082335581,1.4303103385245755,19.489843711221855,13.797723406867584
St. Bonaventure,0.13833758657710302,0.6818441338657885,16.006796540032077,16.69613275063833
St. John's,1.3090470543070596,1.3638922240761104,13.891218318973463,17.719320441380436
St. Thomas,0.7378667561390007,0.5829808074386978,12.935580004014422,16.311801111535445
Stanford,0.9762363928145569,1.104421613109642,14.128779010129177,17.609309152264174
Stephen F. Austin,1.2682016856515461,0.03801227758412567,12.945398941106571,16.488295868410198
Stetson,1.066315252404732,0.9439935500571512,17.011502033239644,14.291575857688782
Stonehill,0.9760903158149907,1.123987997501081,17.91055039256306,12.201448281004692
Stony Brook,0.26919394914627587,0.024946988927126306,15.224706102261534,15.754781249814807
Syracuse,0.644675502896808,0.3893768265107335,15.101557257742586,15.940150885818298
TCU,0.9742733496560774,1.03921693847421,14.705723184703452,19.071102392592756
Tarleton St.,0.7119619723634668,0.7850818249154162,18.923273810740778,22.315118197369657
Temple,0.9556316180168258,0.8137806493765594,12.455095217701286,14.033109507262308
Tennessee,0.8185741907670376,-0.5684387621939286,16.403892234275173,15.365935611758509
Tennessee Martin,0.9201641374545905,0.8326928207225867,19.94115464142154,18.476957106417185
Tennessee St.,0.09246590972487105,0.7636557753084442,15.478809570689702,19.21087757423989
Tennessee Tech,0.9018375819154801,1.1023391827644278,17.92366032403479,14.091879386445905
Texas,0.8311080388348343,0.7072461037690392,14.640314481107831,12.936432555638872
Texas A&M,0.7395665442568438,1.2670507030334675,13.830514792464893,17.288257281695127
Texas A&M Corpus Chris,0.7075972486351968,1.0535664897679993,18.139359360580027,17.988042784651284
Texas Southern,0.3220842859360177,0.47832994681937296,17.11042684673438,15.58069028631789
Texas St.,0.9846611143433226,0.8464869469388839,17.59646144933969,17.417277552504384
Texas Tech,0.8725885581620102,0.335460136751548,14.98897202917264,13.984737286587311
The Citadel,-0.6510203492471741,0.7024541287202124,15.258284100018216,13.662930337366141
Toledo,0.7763646593493493,0.7603577237531111,13.856070104428976,17.12300032733377
Towson,0.48570774517317017,0.8066174757059501,14.706593275507307,13.963323633624354
Troy,0.2222806002425461,0.21734784613242936,16.051597648805007,16.091032326115105
Tulane,1.1399642835625787,0.20069116664116865,14.893123635064345,15.902086767962317
